Area code,Valid prefix,
02,33,
02,37,
02,38,
02,39,
02,40,
02,41,
02,42,
02,43,
02,44,
02,45,
02,46,
02,47,
02,48,
02,49,
02,50,
02,51,
02,52,
02,53,
02,54,
02,55,but not 5550
02,56,
02,57,
02,58,
02,59,
02,60,
02,61,
02,62,
02,63,
02,64,
02,65,
02,66,
02,67,
02,68,
02,69,
02,72,
02,73,
02,74,
02,75,
02,76,
02,77,
02,78,
02,79,
02,80,
02,81,
02,82,
02,83,
02,84,
02,85,
02,86,
02,87,
02,88,
02,89,
02,90,
02,91,
02,92,
02,93,
02,94,
02,95,
02,96,
02,97,
02,98,
02,99,
03,32,
03,33,
03,34,
03,40,
03,41,
03,42,
03,43,
03,44,
03,45,
03,47,
03,48,
03,49,
03,50,
03,51,
03,52,
03,53,
03,54,
03,55,but not 5550
03,56,
03,57,
03,58,
03,59,
03,61,
03,62,
03,63,
03,64,
03,65,
03,67,
03,70,
03,71,
03,72,
03,73,
03,74,
03,75,
03,76,
03,77,
03,78,
03,79,
03,80,
03,81,
03,82,
03,83,
03,84,
03,85,
03,86,
03,87,
03,88,
03,89,
03,90,
03,91,
03,92,
03,93,
03,94,
03,95,
03,96,
03,97,
03,98,
03,99,
07,20,
07,21,
07,22,
07,23,
07,24,
07,25,
07,26,
07,27,
07,28,
07,29,
07,30,
07,31,
07,32,
07,33,
07,34,
07,35,
07,36,
07,37,
07,38,
07,39,
07,40,
07,41,
07,42,
07,43,
07,44,
07,45,
07,46,
07,47,
07,48,
07,49,
07,52,
07,53,
07,54,
07,55,but not 5550
07,56,
07,57,
07,70,
07,75,
07,76,
07,77,
07,79,
08,25,
08,26,
08,51,
08,52,
08,53,
08,54,
08,55,
08,58,
08,60,
08,61,
08,62,
08,63,
08,64,
08,65,
08,66,
08,67,
08,68,
08,69,
08,70,
08,71,
08,72,
08,73,
08,74,
08,75,
08,76,
08,77,
08,78,
08,79,
08,80,
08,81,
08,82,
08,83,
08,84,
08,85,
08,86,
08,87,
08,88,
08,89,
08,90,
08,91,
08,92,
08,93,
08,94,
08,95,
08,96,
08,97,
08,98,
08,99,
